multimodal_id,zone_name,hour,time_of_day_period,traffic_density,average_speed_kmh,accident_probability,pedestrian_risk,road_condition_score,noise_db,emergency_vehicle_present,incident_risk_score,traffic_impact_score,data_source
MM-REC-003355,Hebbal Flyover,23,night,0.514,18.4,0.207,0.29,0.83,89.1,0,26.0,43.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003356,Bellandur EcoSpace,22,night,0.966,5.0,0.333,0.803,0.61,99.0,0,53.5,79.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003357,Marathahalli Bridge,6,night,0.922,8.0,0.468,0.527,0.71,95.7,0,51.0,75.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003358,Koramangala Sony World Jn,11,morning_peak,0.373,19.2,0.914,0.477,0.74,86.5,0,61.2,53.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003359,Bellandur EcoSpace,2,night,0.898,5.0,0.856,0.161,0.77,97.2,0,58.3,80.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003360,Indiranagar 100ft Road,0,night,0.386,23.9,0.126,0.535,0.84,82.9,0,26.4,35.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003361,Whitefield ITPL Main Gate,15,afternoon,0.529,16.4,0.89,0.291,0.72,87.6,0,58.1,59.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003362,Koramangala Sony World Jn,4,night,0.276,20.9,0.659,0.197,0.76,83.1,0,41.1,40.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003363,Outer Ring Road Sarjapur Jn,21,evening_peak,0.303,14.4,0.304,0.305,0.6,89.9,0,29.9,40.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003364,Indiranagar 100ft Road,6,night,0.731,15.8,0.764,0.326,0.93,89.2,0,54.2,65.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003365,Whitefield ITPL Main Gate,13,afternoon,0.434,17.2,0.178,0.165,0.7,83.7,0,21.6,39.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003366,KR Puram Hanging Bridge,22,night,0.343,14.0,0.624,0.573,0.55,88.2,0,52.1,51.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003367,Marathahalli Bridge,20,evening_peak,0.484,14.1,0.581,0.938,0.73,90.5,0,59.6,59.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003368,Whitefield ITPL Main Gate,4,night,0.54,18.1,0.572,0.352,0.72,85.3,0,45.4,53.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003369,Bellandur EcoSpace,20,evening_peak,0.969,5.0,0.714,0.582,0.71,96.7,0,64.1,85.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003370,Whitefield ITPL Main Gate,10,morning_peak,0.68,15.4,0.971,0.308,0.72,89.5,0,64.4,68.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003371,Yeshwanthpur TTMC Circle,22,night,0.79,11.0,0.618,0.689,0.65,94.2,0,60.4,72.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003372,Yeshwanthpur TTMC Circle,17,evening_peak,0.608,15.1,0.721,0.608,0.8,90.2,1,63.8,63.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003373,Koramangala Sony World Jn,13,afternoon,0.588,14.3,0.324,0.151,0.75,89.4,0,29.7,50.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003374,Marathahalli Bridge,3,night,0.308,17.9,0.958,0.581,0.68,87.6,0,65.5,53.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003375,Whitefield ITPL Main Gate,16,afternoon,0.847,9.2,0.24,0.16,0.76,89.4,0,29.9,63.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003376,Marathahalli Bridge,21,evening_peak,0.569,12.4,0.502,0.418,0.76,89.0,0,44.0,57.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003377,Whitefield ITPL Main Gate,17,evening_peak,0.902,7.1,0.819,0.401,0.83,91.9,1,67.1,81.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003378,Bellandur EcoSpace,7,night,0.347,13.2,0.316,0.925,0.66,89.8,0,45.9,49.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003379,MG Road Brigade Jn,22,night,0.712,11.7,0.867,0.645,0.93,92.0,0,66.5,73.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003380,Koramangala Sony World Jn,9,morning_peak,0.84,10.0,0.779,0.185,0.85,90.2,0,53.8,73.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003381,KR Puram Hanging Bridge,15,afternoon,0.869,6.4,0.785,0.429,0.56,94.5,0,63.5,80.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003382,Yeshwanthpur TTMC Circle,4,night,0.612,13.9,0.979,0.348,0.82,91.0,0,63.7,67.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003383,KR Puram Hanging Bridge,1,night,0.752,7.4,0.682,0.107,0.67,95.9,0,47.9,69.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003384,MG Road Brigade Jn,3,night,0.326,21.1,0.23,0.122,0.98,87.4,0,18.5,33.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003385,Bellandur EcoSpace,5,night,0.686,7.8,0.546,0.622,0.61,94.8,0,54.3,68.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003386,Bellandur EcoSpace,11,morning_peak,0.575,10.2,0.845,0.649,0.6,91.6,0,66.9,68.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003387,Outer Ring Road Sarjapur Jn,4,night,0.58,12.3,0.93,0.292,0.56,93.1,0,62.2,65.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003388,Outer Ring Road Sarjapur Jn,4,night,0.865,7.1,0.487,0.572,0.72,94.0,0,52.0,74.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003389,Silk Board Junction,10,morning_peak,0.766,7.1,0.646,0.314,0.55,96.0,0,52.9,71.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003390,KR Puram Hanging Bridge,14,afternoon,0.463,14.3,0.759,0.841,0.63,92.3,0,65.8,61.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003391,Koramangala Sony World Jn,21,evening_peak,0.32,17.9,0.075,0.933,0.75,84.9,0,34.0,40.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003392,Outer Ring Road Sarjapur Jn,10,morning_peak,0.337,13.4,0.339,0.585,0.73,89.0,0,37.6,46.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003393,MG Road Brigade Jn,4,night,0.581,16.2,0.266,0.796,0.98,91.4,0,40.8,54.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003394,MG Road Brigade Jn,7,night,0.518,17.5,0.561,0.152,0.91,90.6,0,37.7,50.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003395,Indiranagar 100ft Road,23,night,0.642,16.1,0.545,0.696,0.8,86.0,0,53.6,61.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003396,Bellandur EcoSpace,17,evening_peak,0.759,9.3,0.073,0.945,0.77,96.3,0,40.6,64.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003397,Marathahalli Bridge,9,morning_peak,0.519,15.9,0.977,0.059,0.63,90.5,1,61.9,59.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003398,Whitefield ITPL Main Gate,6,night,0.49,19.2,0.343,0.885,0.82,85.4,0,46.7,50.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003399,Bellandur EcoSpace,2,night,0.67,7.9,0.086,0.462,0.68,93.8,0,28.7,57.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003400,Electronic City Toll,20,evening_peak,0.821,14.3,0.693,0.144,0.87,87.9,0,48.4,67.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003401,Whitefield ITPL Main Gate,1,night,0.751,11.1,0.645,0.79,0.83,88.7,0,61.7,72.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003402,Indiranagar 100ft Road,3,night,0.955,8.0,0.693,0.623,0.79,89.6,0,63.2,82.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003403,Bellandur EcoSpace,12,afternoon,0.487,11.6,0.861,0.895,0.66,91.0,1,76.8,67.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003404,MG Road Brigade Jn,11,morning_peak,0.26,20.7,0.889,0.124,0.87,87.4,0,48.3,43.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003405,Indiranagar 100ft Road,18,evening_peak,0.226,27.8,0.539,0.112,0.76,82.2,0,32.8,30.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003406,Koramangala Sony World Jn,22,night,0.223,20.9,0.062,0.087,0.74,83.2,0,10.9,25.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003407,Outer Ring Road Sarjapur Jn,23,night,0.466,14.1,0.211,0.649,0.7,89.4,0,35.7,48.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003408,Yeshwanthpur TTMC Circle,12,afternoon,0.386,19.0,0.334,0.79,0.64,89.8,0,44.2,45.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003409,Silk Board Junction,3,night,0.964,5.2,0.196,0.46,0.7,101.3,0,37.8,73.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003410,Bellandur EcoSpace,0,night,0.603,11.3,0.875,0.257,0.75,93.6,0,57.3,65.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003411,Electronic City Toll,4,night,0.59,26.0,0.2,0.811,0.94,86.5,0,38.7,46.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003412,Silk Board Junction,20,evening_peak,0.724,6.2,0.556,0.251,0.57,96.4,0,46.5,67.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003413,MG Road Brigade Jn,15,afternoon,0.626,16.1,0.733,0.85,1.0,92.3,1,68.6,66.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003414,Hebbal Flyover,4,night,0.209,28.2,0.082,0.319,0.87,82.6,0,16.1,22.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003415,Koramangala Sony World Jn,23,night,0.719,10.7,0.812,0.123,0.71,90.9,0,53.3,68.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003416,Indiranagar 100ft Road,17,evening_peak,0.395,24.6,0.053,0.26,0.95,85.2,0,15.3,31.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003417,MG Road Brigade Jn,20,evening_peak,0.677,12.1,0.777,0.5,0.94,91.6,0,58.2,68.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003418,Electronic City Toll,13,afternoon,0.673,21.0,0.907,0.465,0.94,85.0,0,63.1,64.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003419,Yeshwanthpur TTMC Circle,17,evening_peak,0.432,18.7,0.285,0.111,0.71,87.7,0,25.0,40.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003420,Bellandur EcoSpace,9,morning_peak,0.39,14.4,0.362,0.724,0.58,93.1,0,44.4,49.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003421,Outer Ring Road Sarjapur Jn,20,evening_peak,0.481,13.6,0.209,0.913,0.75,90.5,0,41.9,52.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003422,Koramangala Sony World Jn,18,evening_peak,0.215,22.6,0.111,0.432,0.77,81.8,0,21.3,28.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003423,Electronic City Toll,5,night,0.291,34.8,0.039,0.749,0.8,80.2,0,26.8,23.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003424,Marathahalli Bridge,19,evening_peak,0.497,15.1,0.944,0.851,0.74,90.4,1,78.8,65.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003425,KR Puram Hanging Bridge,19,evening_peak,0.448,13.2,0.81,0.172,0.69,89.9,0,50.6,55.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003426,Bellandur EcoSpace,3,night,0.886,5.0,0.361,0.883,0.69,95.5,0,54.7,77.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003427,KR Puram Hanging Bridge,7,night,0.454,11.8,0.8,0.121,0.57,92.3,0,50.1,56.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003428,Bellandur EcoSpace,12,afternoon,0.307,13.0,0.022,0.093,0.65,88.3,0,11.4,33.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003429,Indiranagar 100ft Road,17,evening_peak,0.364,23.6,0.898,0.207,0.76,84.8,0,53.4,46.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003430,Yeshwanthpur TTMC Circle,10,morning_peak,0.484,16.6,0.029,0.35,0.81,88.9,0,19.2,41.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003431,MG Road Brigade Jn,21,evening_peak,0.483,17.9,0.108,0.519,0.85,89.2,0,26.6,43.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003432,KR Puram Hanging Bridge,23,night,0.92,5.0,0.784,0.304,0.68,94.9,0,59.9,81.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003433,Indiranagar 100ft Road,10,morning_peak,0.67,16.4,0.012,0.546,0.92,87.2,0,25.0,50.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003434,Electronic City Toll,0,night,0.434,27.6,0.063,0.212,0.89,82.9,0,15.7,30.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003435,MG Road Brigade Jn,18,evening_peak,0.535,14.4,0.879,0.748,0.89,89.6,0,67.4,65.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003436,Electronic City Toll,14,afternoon,0.224,35.5,0.906,0.26,0.85,82.7,0,52.1,33.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003437,Koramangala Sony World Jn,6,night,0.26,22.0,0.725,0.459,0.76,82.7,0,50.4,43.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003438,Outer Ring Road Sarjapur Jn,10,morning_peak,0.769,9.6,0.431,0.618,0.72,92.8,0,49.2,68.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003439,Bellandur EcoSpace,2,night,0.374,12.2,0.855,0.441,0.67,92.3,1,63.4,57.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003440,Koramangala Sony World Jn,19,evening_peak,0.381,18.0,0.953,0.866,0.84,83.6,0,71.8,59.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003441,Outer Ring Road Sarjapur Jn,19,evening_peak,0.855,8.6,0.109,0.069,0.61,95.4,0,23.4,60.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003442,KR Puram Hanging Bridge,18,evening_peak,0.492,11.1,0.913,0.853,0.54,91.8,0,74.4,68.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003443,Hebbal Flyover,1,night,0.671,16.2,0.945,0.58,0.9,91.6,0,68.1,69.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003444,Koramangala Sony World Jn,13,afternoon,0.383,16.9,0.109,0.13,0.74,84.0,0,16.5,36.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003445,Marathahalli Bridge,14,afternoon,0.738,8.4,0.62,0.064,0.65,92.4,0,44.1,66.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003446,Silk Board Junction,5,night,0.758,5.6,0.036,0.231,0.69,96.2,0,21.9,59.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003447,Silk Board Junction,22,night,0.681,8.1,0.029,0.281,0.62,95.0,0,22.3,54.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003448,Outer Ring Road Sarjapur Jn,10,morning_peak,0.973,5.0,0.024,0.226,0.67,96.4,0,24.6,67.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003449,Silk Board Junction,8,morning_peak,0.291,14.0,0.748,0.835,0.57,92.0,1,68.2,54.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003450,Indiranagar 100ft Road,17,evening_peak,0.752,15.5,0.248,0.945,0.9,87.9,0,47.1,62.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003451,Electronic City Toll,8,morning_peak,0.66,22.0,0.933,0.761,0.87,86.9,0,72.2,66.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003452,KR Puram Hanging Bridge,3,night,0.836,8.3,0.4,0.116,0.58,97.3,0,37.6,66.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003453,Marathahalli Bridge,0,night,0.478,15.0,0.151,0.877,0.65,91.7,0,39.4,49.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003454,MG Road Brigade Jn,13,afternoon,0.911,8.9,0.103,0.933,0.88,94.4,0,42.8,71.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003455,Bellandur EcoSpace,0,night,0.818,6.1,0.487,0.344,0.66,95.7,0,46.2,71.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003456,Marathahalli Bridge,16,afternoon,0.213,21.2,0.831,0.689,0.66,86.1,0,61.2,46.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003457,Whitefield ITPL Main Gate,15,afternoon,0.413,19.5,0.911,0.334,0.79,84.9,1,62.6,53.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003458,Koramangala Sony World Jn,9,morning_peak,0.948,8.6,0.684,0.411,0.9,91.3,0,56.3,79.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003459,KR Puram Hanging Bridge,19,evening_peak,0.689,8.3,0.046,0.651,0.54,92.5,1,38.3,58.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003460,Koramangala Sony World Jn,11,morning_peak,0.207,21.2,0.509,0.237,0.88,84.1,0,33.1,34.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003461,Indiranagar 100ft Road,9,morning_peak,0.556,19.3,0.486,0.085,0.93,87.4,1,38.0,48.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003462,Electronic City Toll,6,night,0.299,34.9,0.566,0.113,0.91,83.5,0,33.7,28.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003463,Silk Board Junction,8,morning_peak,0.379,10.9,0.098,0.759,0.74,92.3,1,36.7,46.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003464,KR Puram Hanging Bridge,0,night,0.323,17.2,0.559,0.404,0.58,89.5,0,44.3,45.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003465,MG Road Brigade Jn,20,evening_peak,0.867,11.0,0.365,0.767,0.86,92.8,0,50.0,71.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003466,Whitefield ITPL Main Gate,3,night,0.363,21.8,0.483,0.278,0.73,83.2,0,36.8,40.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003467,Indiranagar 100ft Road,14,afternoon,0.557,19.9,0.852,0.404,0.82,85.4,0,58.6,58.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003468,Silk Board Junction,23,night,0.331,13.2,0.204,0.37,0.72,92.8,0,26.2,41.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003469,Koramangala Sony World Jn,20,evening_peak,0.499,17.7,0.265,0.485,0.85,88.4,0,33.0,46.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003470,Electronic City Toll,9,morning_peak,0.583,22.8,0.183,0.651,0.78,85.9,0,35.5,46.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003471,Indiranagar 100ft Road,18,evening_peak,0.255,24.6,0.736,0.72,0.9,80.4,0,55.9,43.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003472,Outer Ring Road Sarjapur Jn,18,evening_peak,0.28,15.1,0.113,0.839,0.6,89.3,0,34.3,40.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003473,Marathahalli Bridge,19,evening_peak,0.508,14.2,0.805,0.05,0.65,88.6,0,48.6,56.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003474,MG Road Brigade Jn,22,night,0.675,14.8,0.479,0.675,0.95,90.7,0,49.1,62.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003475,Indiranagar 100ft Road,17,evening_peak,0.922,9.5,0.622,0.377,0.88,89.7,0,52.4,76.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003476,MG Road Brigade Jn,12,afternoon,0.676,12.3,0.061,0.755,0.99,90.8,0,31.9,56.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003477,Koramangala Sony World Jn,10,morning_peak,0.405,18.9,0.42,0.631,0.78,86.9,0,43.0,46.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003478,Outer Ring Road Sarjapur Jn,12,afternoon,0.885,7.9,0.728,0.126,0.57,96.8,0,53.5,75.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003479,Yeshwanthpur TTMC Circle,11,morning_peak,0.41,18.1,0.434,0.377,0.75,90.1,0,37.6,45.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003480,KR Puram Hanging Bridge,9,morning_peak,0.212,16.1,0.971,0.068,0.51,87.8,0,53.5,46.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003481,Whitefield ITPL Main Gate,23,night,0.601,14.7,0.07,0.723,0.82,86.5,0,32.0,51.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003482,Marathahalli Bridge,14,afternoon,0.869,6.1,0.233,0.179,0.6,94.9,0,32.0,66.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003483,Koramangala Sony World Jn,16,afternoon,0.883,8.9,0.212,0.874,0.82,91.2,0,46.4,71.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003484,MG Road Brigade Jn,2,night,0.856,8.7,0.218,0.471,0.82,94.4,0,36.2,66.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003485,Koramangala Sony World Jn,0,night,0.205,20.4,0.626,0.348,0.87,82.0,1,46.2,38.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003486,Electronic City Toll,16,afternoon,0.899,11.9,0.849,0.476,0.93,89.5,0,64.3,78.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003487,Silk Board Junction,12,afternoon,0.527,11.2,0.016,0.342,0.59,93.4,0,21.3,46.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003488,Outer Ring Road Sarjapur Jn,17,evening_peak,0.463,12.5,0.427,0.703,0.58,91.3,0,47.9,54.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003489,Koramangala Sony World Jn,23,night,0.85,9.8,0.338,0.869,0.77,90.8,0,52.0,72.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003490,Silk Board Junction,6,night,0.883,6.8,0.922,0.903,0.69,96.7,0,80.4,87.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003491,KR Puram Hanging Bridge,4,night,0.366,15.2,0.194,0.666,0.56,89.1,0,35.3,43.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003492,KR Puram Hanging Bridge,3,night,0.228,18.5,0.56,0.707,0.62,89.7,0,50.1,43.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003493,KR Puram Hanging Bridge,8,morning_peak,0.36,16.2,0.162,0.449,0.6,90.0,0,27.9,40.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003494,Whitefield ITPL Main Gate,0,night,0.299,20.7,0.335,0.736,0.65,81.3,0,41.5,40.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003495,Hebbal Flyover,11,morning_peak,0.565,19.9,0.954,0.77,0.76,89.3,0,73.1,64.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003496,MG Road Brigade Jn,15,afternoon,0.38,18.3,0.463,0.179,0.91,86.7,0,31.9,42.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003497,Marathahalli Bridge,10,morning_peak,0.606,12.8,0.929,0.531,0.7,90.4,0,67.2,68.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003498,Koramangala Sony World Jn,11,morning_peak,0.691,11.7,0.361,0.114,0.75,90.9,0,32.0,57.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003499,Electronic City Toll,2,night,0.41,29.0,0.735,0.688,0.8,83.6,0,58.4,46.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003500,Marathahalli Bridge,0,night,0.231,19.5,0.38,0.411,0.78,85.6,0,33.0,36.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003501,Silk Board Junction,0,night,0.481,9.4,0.562,0.35,0.66,93.1,0,44.7,56.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003502,Marathahalli Bridge,17,evening_peak,0.91,8.0,0.787,0.796,0.61,95.4,1,77.9,84.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003503,Marathahalli Bridge,3,night,0.585,14.6,0.574,0.577,0.63,92.0,0,52.7,59.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003504,MG Road Brigade Jn,15,afternoon,0.905,7.3,0.959,0.145,0.96,94.8,0,60.8,81.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003505,MG Road Brigade Jn,17,evening_peak,0.436,17.0,0.978,0.698,0.9,86.6,0,69.0,61.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003506,KR Puram Hanging Bridge,14,afternoon,0.309,15.3,0.089,0.306,0.65,90.6,0,19.8,35.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003507,Bellandur EcoSpace,0,night,0.315,12.4,0.873,0.544,0.58,90.7,0,61.8,56.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003508,Marathahalli Bridge,5,night,0.302,16.4,0.433,0.36,0.78,87.8,0,35.2,42.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003509,MG Road Brigade Jn,3,night,0.379,19.8,0.877,0.909,0.99,86.5,0,68.0,56.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003510,Silk Board Junction,14,afternoon,0.759,8.4,0.385,0.92,0.67,98.4,0,55.0,71.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003511,Marathahalli Bridge,19,evening_peak,0.791,10.9,0.851,0.946,0.61,92.6,0,77.7,79.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003512,Marathahalli Bridge,16,afternoon,0.313,16.5,0.9,0.893,0.61,87.3,0,71.4,57.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003513,Hebbal Flyover,19,evening_peak,0.296,23.4,0.049,0.267,0.83,83.7,0,15.0,27.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003514,Outer Ring Road Sarjapur Jn,0,night,0.212,17.9,0.801,0.212,0.67,88.7,0,47.8,43.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003515,Yeshwanthpur TTMC Circle,2,night,0.397,19.4,0.364,0.075,0.69,88.2,0,27.3,39.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003516,MG Road Brigade Jn,16,afternoon,0.945,8.1,0.89,0.324,1.0,93.1,0,62.3,82.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-003517,Electronic City Toll,2,night,0.301,33.1,0.725,0.163,0.81,80.4,0,43.1,33.3,SYNTHETIC MULTIMODAL SIMULATION
