record_id,timestamp,hour,zone_id,zone_name,lead_deceleration_mps2,approaching_speed_kmh,inter_vehicle_distance_m,time_to_collision_sec,v2v_warning_latency_ms,driver_reaction_time_sec,road_friction_coeff,traffic_density,secondary_collision_risk,reroute_recommended,synthetic_label
SEC-001363,2026-01-05 14:06:00,14,BLR-YESHW-12,Yeshwanthpur TTMC Circle,7.28,80.6,60.6,2.71,4.06,1.59,0.57,0.96,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001364,2026-02-25 04:23:00,4,BLR-SILK-01,Silk Board Junction,11.3,81.4,58.9,2.6,5.91,1.94,0.74,0.83,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001365,2026-01-13 22:13:00,22,BLR-ECITY-02,Electronic City Toll,10.8,45.9,109.4,8.58,4.79,1.47,0.69,0.18,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001366,2026-01-16 08:30:00,8,BLR-HEBBL-04,Hebbal Flyover,10.54,59.6,80.2,4.84,2.89,0.9,0.38,0.16,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001367,2026-02-17 09:14:00,9,BLR-ECITY-02,Electronic City Toll,4.67,65.4,116.3,6.4,8.85,2.17,0.51,0.68,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001368,2026-03-24 04:20:00,4,BLR-SILK-01,Silk Board Junction,7.48,45.5,42.4,3.35,5.97,1.84,0.8,0.58,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001369,2026-02-15 10:12:00,10,BLR-BELLAN-06,Bellandur EcoSpace,7.08,51.7,97.8,6.81,4.46,1.42,0.84,0.27,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001370,2026-01-14 10:45:00,10,BLR-MARATH-05,Marathahalli Bridge,3.25,64.7,17.0,0.95,11.21,1.74,0.48,0.24,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001371,2026-01-16 23:54:00,23,BLR-KORAM-09,Koramangala Sony World Jn,6.37,66.0,41.4,2.26,11.38,0.85,0.66,0.37,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001372,2026-03-04 01:19:00,1,BLR-YESHW-12,Yeshwanthpur TTMC Circle,8.11,39.0,36.9,3.41,10.36,1.63,0.37,0.27,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001373,2026-01-22 16:32:00,16,BLR-KORAM-09,Koramangala Sony World Jn,7.03,56.2,96.0,6.15,3.17,1.04,0.42,0.55,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001374,2026-02-10 14:06:00,14,BLR-BELLAN-06,Bellandur EcoSpace,8.12,29.3,22.4,2.75,9.03,2.01,0.77,0.49,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001375,2026-02-02 03:36:00,3,BLR-KORAM-09,Koramangala Sony World Jn,8.59,48.0,57.2,4.29,7.52,2.07,0.44,0.52,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001376,2026-01-20 04:13:00,4,BLR-ECITY-02,Electronic City Toll,8.74,23.7,85.7,13.02,10.07,1.7,0.62,0.74,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001377,2026-01-12 06:06:00,6,BLR-MGROAD-11,MG Road Brigade Jn,8.19,39.7,47.6,4.32,9.72,1.47,0.77,0.76,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001378,2026-01-13 16:09:00,16,BLR-KORAM-09,Koramangala Sony World Jn,2.83,20.9,97.1,16.73,3.04,1.85,0.82,0.28,LOW,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001379,2026-03-19 01:03:00,1,BLR-YESHW-12,Yeshwanthpur TTMC Circle,7.93,65.1,118.9,6.58,9.0,1.86,0.77,0.26,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001380,2026-02-09 20:43:00,20,BLR-MARATH-05,Marathahalli Bridge,6.77,43.4,70.2,5.82,8.26,2.02,0.36,0.38,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001381,2026-01-05 14:07:00,14,BLR-INDIRA-10,Indiranagar 100ft Road,6.58,42.2,93.9,8.01,10.86,1.38,0.48,0.24,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001382,2026-03-29 15:23:00,15,BLR-MGROAD-11,MG Road Brigade Jn,11.05,27.8,11.6,1.5,6.78,1.88,0.82,0.72,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001383,2026-01-31 17:38:00,17,BLR-WFIELD-07,Whitefield ITPL Main Gate,9.6,68.7,57.2,3.0,4.75,1.19,0.78,0.89,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001384,2026-01-04 22:48:00,22,BLR-BELLAN-06,Bellandur EcoSpace,3.13,57.6,130.8,8.18,10.26,1.52,0.77,0.64,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001385,2026-03-01 23:14:00,23,BLR-BELLAN-06,Bellandur EcoSpace,4.23,46.6,112.9,8.72,7.55,1.68,0.8,0.52,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001386,2026-01-23 22:09:00,22,BLR-INDIRA-10,Indiranagar 100ft Road,5.28,49.4,110.0,8.02,8.25,2.03,0.67,0.71,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001387,2026-02-23 23:14:00,23,BLR-KRPUR-03,KR Puram Hanging Bridge,9.53,20.4,48.4,8.54,3.37,1.93,0.6,0.29,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001388,2026-03-18 06:39:00,6,BLR-ECITY-02,Electronic City Toll,8.89,70.9,135.3,6.87,9.22,2.01,0.51,0.74,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001389,2026-01-26 00:04:00,0,BLR-KRPUR-03,KR Puram Hanging Bridge,7.09,68.2,58.8,3.1,5.71,2.08,0.49,0.21,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001390,2026-02-27 06:48:00,6,BLR-BELLAN-06,Bellandur EcoSpace,9.41,31.5,134.8,15.41,11.35,0.86,0.44,0.77,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001391,2026-02-01 20:56:00,20,BLR-ECITY-02,Electronic City Toll,2.34,33.6,122.3,13.1,7.72,1.9,0.76,0.16,LOW,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001392,2026-01-19 10:05:00,10,BLR-WFIELD-07,Whitefield ITPL Main Gate,10.49,84.1,37.1,1.59,6.18,1.21,0.73,0.56,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001393,2026-03-24 19:01:00,19,BLR-ECITY-02,Electronic City Toll,6.65,82.9,112.3,4.88,2.59,1.04,0.8,0.78,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001394,2026-03-17 09:44:00,9,BLR-INDIRA-10,Indiranagar 100ft Road,10.18,73.5,39.7,1.94,5.6,1.69,0.51,0.23,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001395,2026-02-05 01:50:00,1,BLR-INDIRA-10,Indiranagar 100ft Road,9.12,57.1,11.5,0.73,9.98,1.86,0.56,0.44,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001396,2026-03-24 16:00:00,16,BLR-ORR-08,Outer Ring Road Sarjapur Jn,10.08,46.5,12.5,0.97,3.67,1.36,0.55,0.26,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001397,2026-03-19 04:51:00,4,BLR-HEBBL-04,Hebbal Flyover,4.54,37.1,22.6,2.19,10.0,1.67,0.83,0.46,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001398,2026-02-11 10:24:00,10,BLR-BELLAN-06,Bellandur EcoSpace,10.36,20.1,38.5,6.9,3.71,1.16,0.59,0.82,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001399,2026-03-12 00:43:00,0,BLR-KRPUR-03,KR Puram Hanging Bridge,3.27,60.6,57.1,3.39,10.74,1.34,0.56,0.74,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001400,2026-01-25 13:34:00,13,BLR-WFIELD-07,Whitefield ITPL Main Gate,2.29,52.4,14.1,0.97,8.48,0.81,0.6,0.94,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001401,2026-01-18 21:32:00,21,BLR-YESHW-12,Yeshwanthpur TTMC Circle,4.58,53.8,111.6,7.47,9.22,1.08,0.67,0.57,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001402,2026-01-18 02:53:00,2,BLR-MARATH-05,Marathahalli Bridge,10.15,58.4,41.8,2.58,2.76,1.07,0.38,0.84,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001403,2026-01-03 22:35:00,22,BLR-ORR-08,Outer Ring Road Sarjapur Jn,7.37,62.9,40.2,2.3,8.31,1.24,0.44,0.96,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001404,2026-01-04 09:22:00,9,BLR-INDIRA-10,Indiranagar 100ft Road,10.7,30.1,96.2,11.51,5.08,1.77,0.64,0.22,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001405,2026-03-23 13:08:00,13,BLR-MGROAD-11,MG Road Brigade Jn,3.07,24.6,97.5,14.27,10.54,1.34,0.83,0.83,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001406,2026-02-16 23:33:00,23,BLR-ECITY-02,Electronic City Toll,8.25,80.1,35.5,1.6,3.09,2.06,0.71,0.61,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001407,2026-03-25 16:56:00,16,BLR-BELLAN-06,Bellandur EcoSpace,9.79,32.6,61.0,6.74,9.07,1.59,0.55,0.32,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001408,2026-01-03 13:37:00,13,BLR-KORAM-09,Koramangala Sony World Jn,11.31,28.4,71.4,9.05,2.78,2.15,0.74,0.76,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001409,2026-02-19 08:26:00,8,BLR-MGROAD-11,MG Road Brigade Jn,5.77,80.3,49.9,2.24,9.2,1.62,0.59,0.51,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001410,2026-02-02 13:32:00,13,BLR-SILK-01,Silk Board Junction,5.89,40.7,62.1,5.49,9.28,1.85,0.84,0.82,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001411,2026-03-08 05:54:00,5,BLR-BELLAN-06,Bellandur EcoSpace,4.87,47.0,40.4,3.09,11.88,1.29,0.35,0.76,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001412,2026-01-27 02:53:00,2,BLR-ORR-08,Outer Ring Road Sarjapur Jn,5.93,52.7,73.0,4.99,7.12,1.19,0.47,0.5,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001413,2026-02-17 04:43:00,4,BLR-ECITY-02,Electronic City Toll,6.36,67.7,139.6,7.42,10.24,1.97,0.44,0.87,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001414,2026-03-21 05:26:00,5,BLR-YESHW-12,Yeshwanthpur TTMC Circle,5.24,69.4,101.4,5.26,7.45,2.07,0.81,0.75,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001415,2026-03-21 17:28:00,17,BLR-BELLAN-06,Bellandur EcoSpace,7.92,39.8,97.2,8.79,10.16,2.1,0.82,0.44,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001416,2026-02-09 01:32:00,1,BLR-HEBBL-04,Hebbal Flyover,7.23,71.6,54.7,2.75,5.74,0.83,0.68,0.31,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001417,2026-02-10 16:51:00,16,BLR-KORAM-09,Koramangala Sony World Jn,4.51,69.1,15.7,0.82,5.26,2.19,0.58,0.64,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001418,2026-03-31 06:55:00,6,BLR-WFIELD-07,Whitefield ITPL Main Gate,3.81,45.9,87.7,6.88,10.95,1.19,0.36,0.29,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001419,2026-01-29 01:58:00,1,BLR-KORAM-09,Koramangala Sony World Jn,3.27,29.5,84.5,10.31,6.06,0.73,0.37,0.62,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001420,2026-02-13 03:26:00,3,BLR-KORAM-09,Koramangala Sony World Jn,10.72,35.9,16.0,1.6,5.04,1.94,0.46,0.36,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001421,2026-01-24 03:17:00,3,BLR-KRPUR-03,KR Puram Hanging Bridge,4.17,31.9,117.0,13.2,9.16,0.74,0.37,0.97,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001422,2026-01-27 23:18:00,23,BLR-KRPUR-03,KR Puram Hanging Bridge,4.75,59.5,139.9,8.46,6.04,1.98,0.46,0.42,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001423,2026-02-14 20:19:00,20,BLR-KORAM-09,Koramangala Sony World Jn,9.38,60.4,91.8,5.47,8.42,2.16,0.81,0.98,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001424,2026-02-17 18:56:00,18,BLR-SILK-01,Silk Board Junction,6.21,23.6,138.4,21.11,9.79,0.73,0.36,0.9,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001425,2026-01-01 02:51:00,2,BLR-MGROAD-11,MG Road Brigade Jn,7.61,81.1,78.4,3.48,3.52,1.15,0.55,0.37,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001426,2026-02-27 03:41:00,3,BLR-YESHW-12,Yeshwanthpur TTMC Circle,11.39,27.3,108.9,14.36,6.65,1.16,0.78,0.42,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001427,2026-03-11 10:37:00,10,BLR-WFIELD-07,Whitefield ITPL Main Gate,11.25,75.1,79.7,3.82,4.51,1.6,0.82,0.23,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001428,2026-03-16 04:14:00,4,BLR-KORAM-09,Koramangala Sony World Jn,3.04,48.6,108.8,8.06,2.79,1.51,0.78,0.2,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001429,2026-01-26 06:13:00,6,BLR-YESHW-12,Yeshwanthpur TTMC Circle,5.39,77.0,96.2,4.5,11.89,1.63,0.57,0.18,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001430,2026-01-09 02:02:00,2,BLR-ORR-08,Outer Ring Road Sarjapur Jn,8.12,27.0,88.0,11.73,4.21,1.72,0.75,0.41,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001431,2026-02-28 19:45:00,19,BLR-SILK-01,Silk Board Junction,8.32,46.3,127.9,9.94,8.53,1.34,0.68,0.78,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001432,2026-01-02 12:46:00,12,BLR-SILK-01,Silk Board Junction,11.31,61.8,116.2,6.77,6.81,1.44,0.62,0.95,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001433,2026-03-02 15:05:00,15,BLR-HEBBL-04,Hebbal Flyover,8.77,79.6,77.5,3.51,2.78,1.44,0.62,0.67,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001434,2026-01-17 19:26:00,19,BLR-MARATH-05,Marathahalli Bridge,7.31,31.3,128.1,14.73,10.99,1.0,0.75,0.88,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001435,2026-03-06 23:48:00,23,BLR-KORAM-09,Koramangala Sony World Jn,7.34,21.3,50.4,8.52,11.3,1.16,0.47,0.64,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001436,2026-01-12 03:05:00,3,BLR-MARATH-05,Marathahalli Bridge,7.23,70.6,45.6,2.33,5.81,1.34,0.63,0.84,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001437,2026-03-01 04:08:00,4,BLR-INDIRA-10,Indiranagar 100ft Road,4.63,42.5,43.3,3.67,7.84,1.98,0.61,0.44,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001438,2026-02-22 11:06:00,11,BLR-BELLAN-06,Bellandur EcoSpace,4.09,48.1,107.9,8.08,11.96,1.21,0.76,0.26,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001439,2026-03-14 09:11:00,9,BLR-MARATH-05,Marathahalli Bridge,11.47,21.1,134.5,22.95,4.51,1.06,0.83,0.69,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001440,2026-01-22 02:28:00,2,BLR-WFIELD-07,Whitefield ITPL Main Gate,4.35,65.1,23.5,1.3,10.93,1.02,0.77,0.6,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001441,2026-01-28 05:18:00,5,BLR-INDIRA-10,Indiranagar 100ft Road,5.21,70.9,92.6,4.7,2.77,1.16,0.53,0.46,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001442,2026-02-18 14:53:00,14,BLR-MARATH-05,Marathahalli Bridge,3.96,42.9,29.4,2.47,5.15,1.94,0.41,0.66,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001443,2026-03-31 13:16:00,13,BLR-KRPUR-03,KR Puram Hanging Bridge,2.67,50.3,57.7,4.13,4.01,1.3,0.83,0.97,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001444,2026-01-28 12:47:00,12,BLR-MGROAD-11,MG Road Brigade Jn,6.01,30.1,75.4,9.02,4.98,1.17,0.84,0.29,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001445,2026-03-03 23:30:00,23,BLR-KORAM-09,Koramangala Sony World Jn,11.08,65.2,118.3,6.53,7.76,1.49,0.73,0.3,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001446,2026-01-08 23:04:00,23,BLR-KRPUR-03,KR Puram Hanging Bridge,3.16,28.3,15.4,1.96,11.16,1.43,0.81,0.31,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001447,2026-02-19 10:20:00,10,BLR-KRPUR-03,KR Puram Hanging Bridge,7.68,32.4,20.3,2.26,4.78,1.49,0.85,0.77,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001448,2026-01-28 21:32:00,21,BLR-KORAM-09,Koramangala Sony World Jn,8.66,66.5,41.9,2.27,7.17,1.39,0.77,0.2,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001449,2026-01-26 11:22:00,11,BLR-KORAM-09,Koramangala Sony World Jn,7.89,84.3,51.8,2.21,2.51,1.29,0.41,0.82,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001450,2026-02-13 00:45:00,0,BLR-INDIRA-10,Indiranagar 100ft Road,5.65,72.6,66.5,3.3,11.07,1.93,0.71,0.94,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001451,2026-02-06 10:50:00,10,BLR-MARATH-05,Marathahalli Bridge,8.87,40.7,71.7,6.34,9.28,1.04,0.37,0.19,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001452,2026-01-18 03:59:00,3,BLR-BELLAN-06,Bellandur EcoSpace,7.23,46.9,83.7,6.42,6.74,2.19,0.84,0.75,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001453,2026-01-28 19:39:00,19,BLR-INDIRA-10,Indiranagar 100ft Road,11.27,49.9,114.1,8.23,8.05,1.59,0.74,0.78,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001454,2026-02-05 14:51:00,14,BLR-MGROAD-11,MG Road Brigade Jn,8.07,40.1,29.6,2.66,8.38,1.66,0.74,0.82,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001455,2026-03-19 08:28:00,8,BLR-HEBBL-04,Hebbal Flyover,7.21,47.9,62.7,4.71,5.1,1.49,0.54,0.48,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001456,2026-02-19 02:31:00,2,BLR-KRPUR-03,KR Puram Hanging Bridge,5.83,56.2,26.4,1.69,11.62,1.12,0.72,0.43,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001457,2026-01-27 01:43:00,1,BLR-SILK-01,Silk Board Junction,3.99,31.1,43.8,5.07,9.04,1.11,0.74,0.51,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001458,2026-03-04 02:54:00,2,BLR-INDIRA-10,Indiranagar 100ft Road,9.54,21.0,126.0,21.6,10.58,2.04,0.71,0.76,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001459,2026-03-02 16:20:00,16,BLR-SILK-01,Silk Board Junction,3.67,27.9,79.7,10.28,7.14,1.42,0.41,0.53,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001460,2026-01-22 15:30:00,15,BLR-KRPUR-03,KR Puram Hanging Bridge,3.31,76.7,8.5,0.4,6.75,2.16,0.62,0.49,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001461,2026-03-13 01:30:00,1,BLR-ECITY-02,Electronic City Toll,10.79,64.6,22.7,1.27,7.25,1.59,0.67,0.43,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001462,2026-03-29 13:05:00,13,BLR-KORAM-09,Koramangala Sony World Jn,10.61,37.4,134.4,12.94,10.68,1.03,0.38,0.72,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001463,2026-03-24 08:09:00,8,BLR-MARATH-05,Marathahalli Bridge,6.67,74.2,103.3,5.01,5.33,1.69,0.83,0.42,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001464,2026-03-09 00:18:00,0,BLR-MARATH-05,Marathahalli Bridge,2.98,56.0,82.2,5.28,10.84,0.89,0.82,0.16,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001465,2026-01-15 03:22:00,3,BLR-KRPUR-03,KR Puram Hanging Bridge,5.95,55.3,72.8,4.74,4.53,2.12,0.76,0.37,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001466,2026-01-08 18:07:00,18,BLR-MARATH-05,Marathahalli Bridge,4.37,72.7,51.7,2.56,7.28,2.02,0.47,0.36,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001467,2026-01-01 06:10:00,6,BLR-WFIELD-07,Whitefield ITPL Main Gate,4.43,33.6,107.6,11.53,5.5,1.8,0.74,0.78,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001468,2026-01-15 06:28:00,6,BLR-ORR-08,Outer Ring Road Sarjapur Jn,4.24,21.1,109.2,18.63,6.61,1.72,0.68,0.54,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001469,2026-02-16 05:17:00,5,BLR-BELLAN-06,Bellandur EcoSpace,11.37,79.8,138.4,6.24,3.01,2.13,0.46,0.3,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001470,2026-01-07 05:37:00,5,BLR-SILK-01,Silk Board Junction,3.95,54.1,80.7,5.37,8.77,1.35,0.59,0.42,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001471,2026-02-03 02:48:00,2,BLR-ECITY-02,Electronic City Toll,2.86,36.2,77.8,7.74,3.34,1.77,0.64,0.78,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001472,2026-03-26 23:37:00,23,BLR-ORR-08,Outer Ring Road Sarjapur Jn,2.91,55.7,53.3,3.44,5.56,2.06,0.71,0.5,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001473,2026-02-16 18:05:00,18,BLR-KRPUR-03,KR Puram Hanging Bridge,3.94,70.3,54.6,2.8,2.99,1.45,0.72,0.64,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001474,2026-03-04 04:42:00,4,BLR-SILK-01,Silk Board Junction,10.89,30.1,96.3,11.52,5.55,1.6,0.71,0.7,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001475,2026-02-25 21:05:00,21,BLR-WFIELD-07,Whitefield ITPL Main Gate,6.96,56.6,19.7,1.25,8.53,1.62,0.38,0.34,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001476,2026-01-13 08:05:00,8,BLR-KRPUR-03,KR Puram Hanging Bridge,11.44,28.8,107.1,13.39,3.22,1.17,0.8,0.65,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001477,2026-03-17 01:42:00,1,BLR-KORAM-09,Koramangala Sony World Jn,11.06,58.8,61.3,3.75,9.14,1.42,0.68,0.4,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001478,2026-01-18 11:12:00,11,BLR-ECITY-02,Electronic City Toll,6.86,35.6,124.1,12.55,7.78,0.97,0.83,0.54,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001479,2026-03-19 06:04:00,6,BLR-BELLAN-06,Bellandur EcoSpace,6.55,38.1,75.1,7.1,3.37,1.34,0.35,0.95,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001480,2026-02-06 21:42:00,21,BLR-MGROAD-11,MG Road Brigade Jn,11.07,82.9,36.5,1.59,7.66,1.86,0.71,0.74,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001481,2026-02-06 08:50:00,8,BLR-MARATH-05,Marathahalli Bridge,8.08,81.1,51.2,2.27,3.53,1.32,0.36,0.43,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001482,2026-02-05 00:36:00,0,BLR-BELLAN-06,Bellandur EcoSpace,4.14,39.3,56.6,5.18,11.77,0.72,0.78,0.94,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001483,2026-03-13 06:10:00,6,BLR-BELLAN-06,Bellandur EcoSpace,3.21,53.2,124.3,8.41,10.99,0.93,0.48,0.31,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001484,2026-03-25 10:28:00,10,BLR-WFIELD-07,Whitefield ITPL Main Gate,5.37,80.6,95.0,4.24,8.91,1.63,0.53,0.66,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001485,2026-03-06 21:26:00,21,BLR-KRPUR-03,KR Puram Hanging Bridge,3.85,43.1,125.2,10.46,10.98,2.17,0.76,0.71,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001486,2026-03-25 05:50:00,5,BLR-SILK-01,Silk Board Junction,6.7,23.6,56.7,8.65,8.93,1.35,0.51,0.52,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001487,2026-01-26 03:14:00,3,BLR-MGROAD-11,MG Road Brigade Jn,4.04,59.0,91.0,5.55,11.85,0.89,0.59,0.16,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-001488,2026-02-11 04:11:00,4,BLR-MGROAD-11,MG Road Brigade Jn,4.13,45.7,16.1,1.27,3.41,1.91,0.82,0.91,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-001489,2026-03-12 06:33:00,6,BLR-SILK-01,Silk Board Junction,10.86,33.4,117.3,12.64,11.53,1.95,0.73,0.36,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
